sBody,nMass,nMCx,nMCy,nMCz,nIxx,nIyy,nIzz,id,
RA3M,  0.25,     0,-0.045,     0,0.000308833,0.000158833,0.0001875,     1,
RA4P1,  0.02,     0,-0.0265,     0,5.18167e-06, 1e-06,5.18167e-06,     2,
RA5C1, 0.018,     0,-0.0175,     0,2.24362e-06,8.1225e-07,2.24362e-06,     3,
RA6D1, 0.014,     0,-0.0125,     0,1.01267e-06,5.67e-07,1.01267e-06,     4,
RA4P2,0.0164,     0,-0.0175,     0,2.08417e-06,8.2e-07,2.08417e-06,     5,
RA5C2, 0.014,     0,-0.0125,     0,1.04504e-06,6.3175e-07,1.04504e-06,     6,
RA6D2,0.0132,     0,-0.007,     0,4.829e-07,5.346e-07,4.829e-07,     7,
RA4P3,0.0204,     0,-0.018,     0,2.7132e-06,1.02e-06,2.7132e-06,     8,
RA5C3, 0.016,     0,-0.013,     0,1.26233e-06,7.22e-07,1.26233e-06,     9,
RA6D3, 0.012,     0,-0.007,     0,4.39e-07,4.86e-07,4.39e-07,    10,
RA4P4,0.0144,     0,-0.017,     0,1.7472e-06,7.2e-07,1.7472e-06,    11,
RA5C4,0.0109,     0,-0.012,     0,7.69131e-07,4.91862e-07,7.69131e-07,    12,
RA6D4,0.0094,     0,-0.007,     0,3.43883e-07,3.807e-07,3.43883e-07,    13,
RA4P5,0.0122,     0,-0.014,     0,1.10207e-06,6.1e-07,1.10207e-06,    14,
RA5C5,0.0074,     0,-0.0105,     0,4.38912e-07,3.33925e-07,4.38912e-07,    15,
RA6D5,0.0068,     0,-0.007,     0,2.48767e-07,2.754e-07,2.48767e-07,    16,
